Date,Author,Site Name,Site Url,Price,Shipping Cost,Shipping Code,Shipping Type,Shipping Url,Store PickUp,Store PickUp url,Return,Exchange,Return/Exchange Url,Delivery Time,Price match,Price Gurantee,Price March/Guarantee Url,Coupon Code,Coupon code Url,Printable Coupon,Printable Coupon Url,SignUp Reward,SignUp Reward Url,Referral,Referral Url,CashBack,CashBack Url,Weekly Ad,Weekly Ad Url,Today Ad,Today Ad Url,MemberShip,MemberShip Url,Credit Card Member,Credit Card Member Url,Student Discount,Student Discount Url,Youth Discount,Youth Discount Url,Military Discount,Military Discount Url,Worker Discount,Worker Discount Url,App Download,App Download Url,New Arrivals,New Arrivals Url,Clearance,Clearance Url,Sale,Sale Url,Deal,Deal Url,BOGO,BOGO url,Gift Product,Gift Product Url,Gift Card/Voucher,Gift Card/Voucher Url,,,Gift card/voucher,Gift card/voucher Url,pre-order/back order (not related),pre-order/back order url,Rewards (no need),Reward Url,Military discount,Military discount url,youth discount,youth discount url,worker Discount,worker Discount url
14/5/2022,usama,SV Moscow,https://svmoscow.com/,above 399/under 399,free/40,,DHL,https://svmoscow.com/information/shipment/,no,,7days,no,https://svmoscow.com/information/return/,10-14 days,no,no,,no,,no,,10% off first order,https://svmoscow.com/,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://svmoscow.com/women/new-arrivals/,no,,no,,no,,no,,no,,no,,.,,no,,,,,,,,,,,
14/5/2022,usama,veronica beard,https://veronicabeard.com,above 100/under 100,free/10,,Standard,https://veronicabeard.com/pages/shipping,yes,https://veronicabeard.com/pages/store-locator,21 days,no,https://veronicabeard.com/pages/returns,1-5 days,no,no,,no,,no,,15% off on first order,https://veronicabeard.com/,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://veronicabeard.com/collections/new,no,,yes,https://veronicabeard.com/collections/sale,no,,no,,no,,no,,,,yes,https://veronicabeard.com/products/digital-gift-card,,,,,,,,,,
14/5/2022,usama,suitnegozi,https://row.suitnegozi.com,above 550/under 550,free/39,,DHL,https://row.suitnegozi.com/pages/terms-and-conditions,no,,14 days,free exchange,https://row.suitnegozi.com/pages/return-policy,5-7 days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://row.suitnegozi.com/products/suit-gift-card,no,,yes,https://row.suitnegozi.com/collections/sale,no,,no,,no,,yes,https://row.suitnegozi.com/products/suit-gift-card,,,yes,https://row.suitnegozi.com/products/suit-gift-card,,,,,,,,,,
14/5/2022,usama,dylanlex,https://dylanlex.com,,7.66,,ups,https://dylanlex.com/2565517/checkouts/e5e73f10f5aba1dafad5bc1570b71952,no,,7 days,free exchange,https://dylanlex.com/pages/returns-exchanges,,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://dylanlex.com/collections/dylanlex-newest-styles,no,,yes,https://dylanlex.com/collections/sale,no,,no,,no,,no,,,,yes,https://dylanlex.com/collections/gift-cards,noo,,no,,,,,,,
14/5/2022,usama,Stories,https://www.stories.com/en_usd/index.html,,free,,Standard,https://www.stories.com/en_usd/customer-service/delivery-methods.html,yes,https://www.stories.com/en_usd/storelocator.html,30 days,no,https://www.stories.com/en/customer-service/return-and-refund-policy.html,3-8 days,no,no,,no,,no,,15% off,https://www.stories.com/en/index.html,no,,no,,no,,no,,no,,no,,yes,https://www.stories.com/en_usd/customer-service/student-discount.html,no,,no,,no,,no,,yes,https://www.stories.com/en/whats-new/all.html,no,,yes,https://www.stories.com/en/sale/all-sale.html,no,,no,,no,,no,,,,,,,,,,,,,,,
14/5/2022,usama,24s,https://www.24s.com/en-us,,free,,Standard,https://www.24s.com/en-us/your-24s/shipping-and-returns,no,,30 days,free exchange,https://www.24s.com/en-us/your-24s/shipping-and-returns,1-5 days,no,no,,10%/10FIRST(first purchase),https://www.24s.com/en-us/,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.24s.com/en-us/women/new-arrivals,no,,yes,https://www.24s.com/en-us/women/events/sale,no,,no,,yes,https://www.24s.com/en-dk/women/holidays/dream-gifts,no,,,,,,,,,,,,,,,
14/5/2022,usama,31philliplim,https://www.31philliplim.com/?fsb=1,,free,,Standard,https://www.31philliplim.com/shopping/unisex-duvet-parka-16787305,yes,https://www.31philliplim.com/ua/client-services/in-store-pickup,14 days except final sale,10 days,https://www.31philliplim.com/client-services/returns-exchanges,5-10 days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.31philliplim.com/sets/woman/new-in,no,,yes,https://www.31philliplim.com/cx/sets/woman/all-sale,no,,no,,yes,https://www.31philliplim.com/ua/sets/the-gift-edit,yes,https://www.31philliplim.com/ng/shopping/gift-card-14641129,,,,,,,,,,,,,,
14/5/2022,usama,Carolazeta,https://www.carolazeta.com/,,19.75,,DHL,https://www.carolazeta.com/,no,,14 days,no,https://www.carolazeta.com/pages/returns,5-7 days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.carolazeta.com/collections/sales,no,,no,,no,,no,,,,,,,,,,,,,,,
14/5/2022,usama,rachel pally,https://www.rachelpally.com/,above 200/under 200,free/8,,UPS,https://www.rachelpally.com/pages/faq#returns,no,,30 days,/size,https://www.rachelpally.com/pages/faq#returns,5-7 days,no,no,,no,,no,,15% on first order,https://www.rachelpally.com/account/register,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.rachelpally.com/collections/rachel-pally-new-arrivals,no,,yes,https://www.rachelpally.com/collections/sale,no,,no,,no,,yes,https://www.rachelpally.com/products/gift-card,,,yes,https://www.rachelpally.com/products/gift-card,,,,,,,,,,
14/5/2022,usama,Thagab,https://us.thahab.com/,above 200/under 200,free/32.51,,DHL,https://us.thahab.com/55421763767/checkouts/0232c332359d7f706ec91bba0d5c9ff1?previous_step=contact_information&step=shipping_method,no,,14 days,no,https://us.thahab.com/policies/refund-policy,,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://us.thahab.com/collections/sale-women,no,,no,,yes,https://us.thahab.com/collections/gifts-under-500/Shoes,yes,https://us.thahab.com/,,,no,,,,,,,,,,,
14/5/2022,usama,Nililotan,https://www.nililotan.com/,,free,,Standard,https://www.nililotan.com/,no,,14 days,/size,https://www.nililotan.com/pages/help,3-5 business days,no,no,,no,,no,,no,,"get $50, give $50 on order of $250",https://www.nililotan.com/pages/refer-your-friends,no,,no,,no,,10%,https://www.nililotan.com/,no,,no,,no,,no,,no,,no,,yes,https://www.nililotan.com/collections/new-in,no,,no,,no,,no,,no,,yes,https://www.nililotan.com/products/rise-ai-giftcard,,,yes,https://www.nililotan.com/products/gift-card,,,,,,,,,,
16/5/2022,usama,bEbe,https://www.bebe.com/,above 150/under 150,free/9.49,,Standard,https://www.bebe.com/pages/shipping,no,,30 days except final sales,no,https://www.bebe.com/pages/returns,7-10 days,no,no,,30%/SWEET30($150),https://www.bebe.com/,no,,15% off,https://www.bebe.com/pages/coupons-discounts,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.bebe.com/collections/new,no,,yes,https://www.bebe.com/collections/sale,no,,no,,no,,yes,https://www.bebe.com/products/gift-card,,,yes,https://www.bebe.com/collections/gift-card/products/gift-card,,,,,,,,,,
16/5/2022,usama,mother denim,https://www.motherdenim.com/,above 50/ under 50,free/15.33,,FedEx,https://www.motherdenim.com/pages/customer-care,no,,21 days,no,https://www.motherdenim.com/pages/customer-care,2 business days,no,no,,no,,no,,10% off first order,https://www.motherdenim.com/,no,,no,,no,,no,,10%,https://www.motherdenim.com/,no,,no,,no,,no,,no,,no,,yes,https://www.motherdenim.com/collections/new-arrivals,no,,yes,https://www.motherdenim.com/collections/sale,no,,no,,no,,yes,https://www.motherdenim.com/products/online-gift-card,,,yes,https://www.motherdenim.com/products/online-gift-card,,,,,,,,,,
